Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,,bcn,,,bcgjkmno,bcjmn,bcgjmn,,abcdefgjkmno,abcdefgjkmno,,bn,abcdefgjkmno,,,bn,bcdefhi,cefhi,f,fi,,,cdefhi,fi,,,ad,ade,,ad,bcd,,,,bcd
,Don't know,331,11,13,13,18,14,3,5,6,22,61,13,14,29,82,29,59,57,61,53,56,44,117,114,100,108,74,28,65,56,86,176,55,121,57
,,0.02,0.01,0.01,0.01,0.02,0.01,*%,*%,0.01,0.02,0.06,0.01,0.01,0.03,0.08,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.03
,,,f,fg,fg,fgh,fg,,,,afgh,abcdefghiklmo,fg,fg,abcefghkl,abcdefghiklmo,abcefghkl,,,,,bg,,,,b,,ac,a,ac,a,d,,d,,bd
,NET: More,11792,824,841,930,819,767,860,931,671,711,669,837,702,800,703,727,1874,2637,2301,2016,1534,1430,4511,4318,2964,7564,1130,761,1150,1188,2804,7520,1762,5758,1368
,,0.75,0.82,0.82,0.87,0.74,0.72,0.84,0.84,0.66,0.71,0.66,0.83,0.61,0.75,0.7,0.7,0.72,0.77,0.76,0.74,0.74,0.77,0.75,0.75,0.75,0.78,0.65,0.71,0.73,0.73,0.73,0.77,0.76,0.77,0.71
,,,dehijlmno,dehijlmno,abdefghijklmno,hjlno,hjl,dehijlmno,dehijlmno,l,hjl,l,dehijlmno,,hijlno,l,l,,adegh,a,,,ae,a,a,a,bcde,,b,b,b,,ae,ae,ae,
,NET: Less,1496,90,37,41,133,121,93,45,194,190,65,77,221,70,37,82,342,339,284,253,157,122,681,537,279,823,217,164,110,183,451,828,216,612,190
,,0.1,0.09,0.04,0.04,0.12,0.11,0.09,0.04,0.19,0.19,0.06,0.08,0.19,0.07,0.04,0.08,0.13,0.1,0.09,0.09,0.08,0.07,0.11,0.09,0.07,0.08,0.13,0.15,0.07,0.11,0.12,0.08,0.09,0.08,0.1
,,,bcgjmn,,,abcfgjkmno,bcgjkmno,bcgjmn,,abcdefgjkmno,abcdefgjkmno,bcgn,bcgn,abcdefgjkmno,bcgn,,bcgn,bcdefghi,efi,efi,efi,,,bcdefhi,efi,,d,ad,abde,,ad,bcde,,,,d
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
